lead_days_assumed,policy,requested_units,filled_units,unfilled_units,avg_on_hand_sum,simulated_fill_rate
3,95pct_normal_buffer,84967,82463,2504,32851.983606557376,0.9705297350736168
3,no_safety_stock,84967,73222,11745,18657.90163934426,0.8617698635941012
7,95pct_normal_buffer,84967,80761,4206,45431.55737704918,0.95049842880177
7,no_safety_stock,84967,68396,16571,19659.803278688523,0.8049713418150576
14,95pct_normal_buffer,84967,76527,8440,57517.852459016394,0.9006673178998905
14,no_safety_stock,84967,61940,23027,21129.29508196721,0.7289889015735521
